distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
16.92,41.82,10.5,0,1,0,1,1
0.41,0.27,2.06,1,1,0,0,0
27.41,5.25,3.19,0,0,1,1,0
14.11,40.47,17.33,1,0,0,1,1
0.73,2.72,3.2,1,0,1,0,0
10.31,2.15,15.08,1,0,0,0,1
10.62,22.25,2.26,1,1,1,1,0
0.25,7.77,1.44,1,1,1,1,0
0.68,3.95,3.27,0,1,0,1,0
25.03,0.33,3.13,1,0,0,0,0
127.31,40.27,11.25,0,0,0,1,1
183.42,50.93,16.44,0,1,0,1,1
1.23,4.61,3.31,1,0,0,1,0
13.84,2.78,2.79,1,0,1,0,0
4.81,19.57,3.8,0,1,0,1,0
45.8,0.77,2.47,1,0,0,1,0
7.24,4.19,2.46,1,1,0,1,0
11.31,2.54,2.63,1,0,1,0,0
12.37,1.52,1.12,1,1,0,1,0
1.96,9.58,1.86,1,1,0,1,0
5.78,2.13,0.35,1,1,1,1,0
15.23,7.89,2.08,0,0,0,1,0
105.34,2.76,13.26,1,0,0,1,1
1.15,17.95,2.61,1,1,0,1,0
15.32,1.0,3.87,1,1,0,0,0
2.7,1.95,2.87,1,1,1,1,0
15.12,4.0,0.59,1,1,1,0,0
2.51,5.38,2.91,1,1,1,1,0
146.22,81.36,18.86,0,0,0,1,1
24.5,5.78,1.26,0,0,0,0,0
14.0,1.87,2.9,1,1,1,0,0
12.37,1.92,1.92,1,0,0,0,0
14.33,1.43,3.47,0,0,1,0,0
10.35,3.62,2.05,1,0,1,0,0
3.63,2.18,0.3,1,1,1,0,0
28.18,2.82,3.54,1,1,0,0,0
3.25,4.03,0.39,1,1,0,1,0
1.9,18.46,1.64,1,0,1,1,0
10.67,3.47,0.28,0,0,0,0,0
10.87,1.99,2.49,0,1,1,0,0
26.43,3.8,2.86,1,1,0,1,0
13.15,7.97,2.93,1,0,0,1,0
22.45,4.31,2.91,1,0,1,1,0
2.4,5.71,0.22,1,0,0,0,0
17.59,2.64,3.12,1,1,1,0,0
98.76,2.63,23.51,0,0,0,1,1
17.73,4.71,0.85,1,1,0,1,0
5.12,1.16,2.85,1,0,1,1,0
1.95,5.64,1.58,1,1,1,1,0
5.09,6.26,1.45,1,0,0,0,0
40.55,5.96,0.64,1,1,0,1,0
15.24,0.27,1.71,1,0,1,0,0
39.7,2.61,3.75,1,1,0,1,0
15.57,11.93,0.45,1,1,1,1,0
2.89,10.7,0.79,1,1,0,0,0
49.1,13.02,3.52,0,1,0,1,0
67.78,3.92,2.03,1,1,0,0,0
3.25,78.93,17.65,1,0,0,1,1
10.86,0.45,2.71,0,0,0,0,0
4.03,7.01,3.82,1,1,0,1,0
0.96,0.63,1.3,1,1,1,1,0
1.87,12.39,1.25,1,0,0,0,0
13.96,2.69,2.24,1,1,1,0,0
21.08,10.32,0.42,1,1,0,0,0
125.82,46.25,9.98,0,0,0,1,1
9.06,3.6,1.88,0,1,1,1,0
25.43,6.85,2.36,0,0,0,1,0
1.07,13.57,0.22,1,1,1,1,0
8.18,24.71,1.59,1,1,0,1,0
11.63,5.3,1.46,0,1,1,1,0
0.05,0.11,1.26,1,1,1,1,0
6.37,1.61,3.76,1,0,1,0,0
32.28,0.08,0.9,0,0,1,1,0
14.81,1.09,16.57,0,1,0,1,1
16.75,1.93,1.28,0,1,0,0,0
181.96,54.18,24.53,1,0,0,1,1
2.42,2.36,3.04,1,1,0,1,0
36.93,4.13,3.87,1,0,0,0,0
38.31,9.39,0.46,1,0,0,1,0
31.03,1.04,3.07,1,1,0,1,0
47.21,0.08,3.75,1,0,1,0,0
13.91,1.14,3.67,1,1,0,0,0
4.55,3.6,2.04,0,1,0,1,0
6.95,2.67,2.29,1,0,0,1,0
8.11,0.83,1.39,1,1,0,1,0
4.46,8.62,3.87,1,1,0,1,0
19.11,3.35,3.68,1,1,0,0,0
43.56,5.52,3.08,1,1,0,1,0
105.98,69.32,16.29,0,0,0,1,1
56.9,0.09,3.27,1,1,1,0,0
78.79,4.08,14.34,0,0,1,1,1
28.25,5.3,3.45,1,0,0,0,0
75.71,82.75,22.59,0,0,0,1,1
32.78,3.23,0.28,0,1,1,0,0
97.17,80.18,14.77,0,0,0,1,1
34.03,2.02,3.05,0,1,1,0,0
0.83,2.87,3.37,1,1,1,0,0
0.45,1.6,3.97,1,0,1,0,0
16.21,0.45,2.51,1,1,0,0,0
15.07,6.73,1.34,0,0,0,0,0
2.13,1.04,1.85,1,1,0,0,0
98.66,1.46,23.32,1,1,0,1,1
2.24,1.79,2.02,0,1,0,0,0
86.99,2.97,13.18,1,0,0,1,1
6.11,8.45,3.45,1,0,0,1,0
5.66,16.7,3.88,1,1,0,0,0
7.08,8.48,1.63,0,1,1,0,0
11.98,15.29,1.9,1,1,0,1,0
23.82,2.63,2.05,1,0,1,1,0
1.15,23.39,1.97,1,1,1,1,0
23.46,2.23,3.59,1,1,0,1,0
6.58,5.21,0.27,1,1,0,1,0
8.44,0.05,1.11,1,1,1,0,0
7.44,7.4,2.4,1,0,0,0,0
48.95,0.62,3.77,0,0,0,0,0
9.7,2.88,2.82,1,0,1,0,0
15.66,5.65,0.74,1,0,0,0,0
47.72,1.32,1.68,0,1,0,0,0
3.3,4.48,1.62,1,0,1,1,0
2.04,1.63,22.66,0,0,0,1,1
6.41,9.34,2.51,1,1,0,1,0
67.68,75.47,15.11,0,0,0,1,1
15.55,46.03,2.26,1,0,0,0,0
7.18,97.11,16.41,1,0,0,1,1
0.62,1.37,15.77,1,0,0,1,1
173.49,23.33,17.29,1,0,0,1,1
109.24,2.99,1.46,1,1,1,1,0
24.97,4.43,1.47,1,1,0,0,0
3.48,0.31,1.47,1,1,0,1,0
4.67,9.76,3.94,1,0,1,1,0
73.37,10.09,0.59,1,0,1,1,0
16.92,3.36,2.35,1,1,0,1,0
1.47,3.62,1.19,1,0,1,0,0
159.91,2.29,9.08,0,0,0,1,1
26.43,2.06,2.35,1,1,0,1,0
167.58,88.61,8.01,1,0,0,1,1
2.6,13.49,1.17,1,0,0,1,0
7.57,1.82,2.83,1,1,1,0,0
2.14,1.28,2.75,0,1,1,1,0
2.13,0.37,1.59,1,0,0,1,0
15.47,31.43,8.14,1,0,0,1,1
7.96,5.8,3.45,0,0,1,0,0
49.55,1.89,0.65,1,0,1,1,0
22.64,5.86,3.41,1,0,1,0,0
5.25,0.28,3.6,1,1,0,0,0
11.27,19.02,3.95,1,0,1,0,0
17.23,7.19,3.82,1,0,0,0,0
168.39,60.08,19.93,0,0,0,1,1
10.74,1.14,3.25,1,0,1,1,0
1.03,6.0,2.95,1,0,0,0,0
14.08,1.85,2.99,1,0,1,1,0
45.87,3.7,3.15,1,0,0,1,0
32.63,7.38,0.21,1,0,0,1,0
1.2,3.04,1.5,1,1,0,0,0
11.48,23.52,12.16,0,0,0,1,1
12.07,12.26,2.99,1,0,0,1,0
1.22,2.33,2.06,1,0,1,1,0
1.07,3.13,1.2,1,0,1,0,0
12.45,1.81,2.53,1,1,0,1,0
34.61,7.15,1.06,0,1,0,0,0
31.46,15.08,0.11,1,1,1,0,0
4.08,3.39,0.33,1,1,0,1,0
11.0,6.03,1.55,1,0,0,0,0
1.17,4.19,1.8,1,0,0,0,0
18.1,6.65,1.34,1,0,0,1,0
2.53,0.9,1.92,1,1,1,0,0
4.62,0.64,0.71,1,1,1,0,0
5.96,0.48,1.07,1,1,1,0,0
0.47,2.59,1.86,1,0,0,1,0
174.56,0.65,18.72,1,0,0,1,1
185.37,92.41,13.64,0,0,0,1,1
7.54,0.15,2.76,0,0,0,0,0
0.53,4.83,1.06,1,1,1,0,0
2.21,1.11,3.55,1,1,1,1,0
22.84,2.22,2.22,1,1,1,0,0
5.76,1.24,3.59,1,0,1,0,0
117.58,18.24,0.49,1,0,1,1,0
82.91,48.38,22.37,0,0,0,1,1
0.43,6.03,3.8,1,1,0,1,0
10.17,1.85,2.01,0,0,0,0,0
18.36,93.5,13.5,0,0,0,1,1
29.56,16.16,1.56,1,0,0,0,0
192.3,4.8,24.47,1,1,0,1,1
2.89,1.83,2.79,0,1,1,1,0
77.47,16.79,0.23,1,1,1,0,0
41.4,0.76,3.01,1,1,0,1,0
145.87,2.23,9.15,0,0,0,1,1
52.16,10.79,2.02,1,1,0,0,0
15.79,5.81,0.73,0,1,0,0,0
1.16,0.93,1.56,1,1,1,0,0
14.26,3.3,0.22,1,0,1,0,0
78.5,3.61,12.79,0,0,0,1,1
6.71,2.79,1.25,1,1,0,0,0
5.18,0.43,3.39,1,0,0,1,0
77.73,1.85,15.91,0,0,0,1,1
1.34,2.11,2.21,1,1,1,1,0
8.14,3.83,3.48,1,1,0,0,0
18.79,3.49,3.61,1,1,1,0,0
2.85,20.79,3.89,1,0,0,1,0
88.55,4.93,3.35,1,1,1,0,0
7.6,1.97,1.18,1,1,1,1,0
8.16,2.68,0.68,1,1,1,1,0
1.6,1.69,2.19,1,1,0,0,0
0.57,1.61,0.66,1,1,0,1,0
4.07,6.85,3.69,1,0,1,0,0
10.15,5.96,0.48,1,0,1,0,0
4.71,2.7,2.62,0,0,1,1,0
30.28,8.6,2.11,0,0,1,0,0
31.72,0.15,0.85,1,1,0,0,0
18.29,1.6,3.31,1,1,0,0,0
13.52,0.98,3.49,1,0,0,1,0
17.51,1.68,1.61,0,1,1,1,0
16.98,1.57,1.7,0,1,1,0,0
15.64,4.6,0.13,1,1,0,1,0
8.27,2.36,1.46,1,1,1,1,0
1.62,3.58,2.68,1,0,1,1,0
1.72,0.33,3.95,1,1,0,1,0
5.32,0.81,3.09,1,1,1,1,0
17.13,6.39,2.66,1,0,0,0,0
14.16,37.79,21.34,1,0,0,1,1
31.37,1.0,0.48,0,0,1,1,0
17.08,2.04,0.45,1,1,0,1,0
4.53,1.74,3.42,1,1,1,1,0
125.07,1.91,22.52,0,0,0,1,1
9.18,1.9,2.89,1,1,1,0,0
0.07,1.6,3.07,0,1,0,1,0
145.02,4.83,11.39,0,0,0,1,1
16.94,4.93,1.07,1,0,0,0,0
2.74,8.68,1.26,1,1,1,0,0
80.96,2.1,3.62,1,0,1,1,0
3.89,6.49,0.61,1,1,0,0,0
0.57,10.46,1.1,1,0,1,1,0
0.3,5.85,1.73,1,1,0,0,0
14.93,1.79,2.68,1,0,1,0,0
1.66,6.34,0.56,0,0,0,0,0
11.11,1.13,2.84,1,0,0,0,0
6.02,0.01,2.72,1,1,1,0,0
10.23,38.49,13.03,0,0,0,0,1
24.26,1.87,2.98,0,1,0,1,0
2.8,2.21,1.81,1,1,0,1,0
7.68,16.39,1.16,1,1,1,1,0
1.8,5.96,0.33,1,0,0,0,0
17.02,1.0,1.58,1,0,1,1,0
2.1,12.65,0.54,1,0,0,0,0
16.99,7.29,2.35,1,1,1,0,0
18.09,0.5,2.68,1,0,1,0,0
12.26,22.03,0.31,1,0,1,1,0
1.17,3.38,1.04,1,0,0,1,0
4.02,3.07,3.22,1,1,0,0,0
15.89,0.54,1.71,1,0,0,1,0
5.45,3.55,0.91,1,1,0,0,0
9.09,4.11,2.52,1,1,1,0,0
3.76,2.09,3.34,1,0,1,1,0
71.07,28.56,11.19,1,0,0,1,1
1.71,2.68,3.71,1,1,1,0,0
46.92,0.72,2.05,1,0,1,1,0
10.65,12.7,0.79,1,1,0,0,0
32.14,3.51,1.6,1,1,1,0,0
52.85,3.02,0.62,1,1,1,0,0
29.57,6.22,3.75,1,0,1,0,0
16.74,19.91,2.64,1,1,1,0,0
122.06,53.4,22.3,0,1,0,1,1
2.91,3.75,12.26,1,0,0,1,1
65.37,89.19,17.54,0,0,0,1,1
39.15,2.45,3.83,1,0,1,0,0
14.54,7.59,3.49,1,1,1,1,0
11.87,4.62,3.13,1,0,0,1,0
2.86,3.61,1.57,1,1,0,0,0
6.02,6.18,0.7,0,0,0,1,0
16.27,3.37,2.33,1,1,0,0,0
1.06,3.52,1.72,1,0,0,0,0
6.71,1.23,3.04,1,1,1,1,0
116.85,69.69,19.6,0,1,0,1,1
4.99,12.11,3.31,1,1,0,0,0
3.21,3.61,3.8,0,1,1,0,0
166.04,28.31,19.95,1,0,0,1,1
2.5,3.07,1.39,0,0,1,0,0
3.87,1.5,1.61,1,1,0,1,0
15.38,4.82,3.05,1,1,0,1,0
15.74,3.83,19.23,0,0,0,1,1
11.84,16.11,0.66,1,1,1,1,0
44.78,4.03,2.26,0,0,1,0,0
5.45,6.9,3.62,1,1,1,0,0
3.74,9.0,0.86,0,1,1,1,0
77.54,3.09,2.24,1,0,0,1,0
6.03,0.69,2.66,0,1,1,0,0
14.37,1.82,2.38,1,0,0,0,0
83.23,2.18,20.46,1,0,0,1,1
2.9,4.66,3.38,1,0,1,0,0
1.19,0.39,0.17,1,0,1,0,0
35.52,4.01,2.22,1,1,1,0,0
22.19,6.61,1.23,1,1,0,0,0
28.26,8.21,2.49,0,1,0,0,0
16.16,17.17,2.97,1,0,0,0,0
7.39,48.9,15.73,0,1,0,1,1
26.55,9.01,1.13,1,0,1,0,0
27.07,3.64,1.57,1,1,0,1,0
9.87,4.63,2.06,0,0,0,1,0
3.1,2.25,2.9,0,0,1,1,0
9.77,1.18,0.73,1,0,0,0,0
14.9,0.2,2.33,0,0,0,1,0
12.44,0.09,2.91,1,0,0,0,0
30.3,0.94,3.34,1,1,1,0,0
4.61,6.44,1.44,1,1,0,0,0
178.94,2.1,16.09,1,0,0,1,1
69.55,91.76,19.04,0,0,0,1,1
24.32,7.79,1.59,1,1,1,1,0
2.68,42.66,14.95,0,0,0,1,1
148.18,1.58,19.08,0,1,0,1,1
17.12,7.03,1.71,1,1,0,0,0
5.49,2.11,2.85,1,1,1,1,0
18.03,0.88,0.94,1,0,1,1,0
2.63,16.7,0.12,0,0,1,0,0
4.44,98.76,16.86,1,0,0,1,1
8.67,1.13,2.66,1,0,0,0,0
3.95,0.93,0.24,1,0,0,1,0
6.53,2.51,2.39,1,1,0,0,0
26.56,12.33,1.46,1,0,1,0,0
12.83,1.51,1.69,0,0,0,1,0
47.1,10.44,3.27,1,1,1,0,0
21.25,16.25,1.89,1,1,0,0,0
199.13,45.26,16.78,0,1,0,0,1
25.81,0.4,3.73,1,0,1,0,0
17.24,12.04,2.05,0,1,1,0,0
4.31,4.82,0.71,0,1,1,1,0
21.67,3.9,0.26,1,1,0,1,0
30.46,3.37,3.94,1,0,0,0,0
121.75,51.5,10.97,1,0,0,1,1
137.15,40.78,12.03,0,0,0,1,1
18.1,2.33,3.43,1,0,0,0,0
1.58,1.57,1.02,1,0,0,1,0
76.49,87.95,20.25,1,0,0,1,1
17.59,0.31,3.27,1,1,0,0,0
12.33,13.43,1.11,0,0,1,1,0
12.87,5.24,0.78,1,0,1,0,0
33.06,2.4,1.22,1,0,0,1,0
14.97,4.24,3.41,0,0,0,0,0
4.67,5.17,1.16,1,1,0,0,0
8.02,1.02,0.19,1,1,1,1,0
3.34,4.39,14.75,1,0,0,1,1
32.5,1.85,1.06,1,1,0,1,0
179.06,98.0,12.63,0,1,0,1,1
14.96,5.05,2.3,1,1,0,0,0
24.5,2.92,1.53,1,0,0,1,0
6.32,3.17,0.13,1,1,0,0,0
5.2,1.31,0.13,1,1,1,0,0
20.04,2.47,1.58,1,1,0,1,0
24.72,5.77,1.21,1,1,0,1,0
5.13,5.07,2.51,1,1,0,0,0
10.7,77.22,11.96,0,0,0,1,1
92.95,3.12,3.19,1,1,1,0,0
1.11,3.18,0.85,1,1,1,0,0
4.29,7.38,1.83,1,0,0,1,0
60.36,3.2,2.76,1,0,1,0,0
11.04,1.46,2.59,0,1,1,0,0
12.66,29.57,8.15,0,0,0,1,1
1.41,0.86,0.46,1,1,1,1,0
155.2,38.61,21.41,1,1,0,1,1
6.65,0.72,3.6,1,1,0,1,0
3.1,2.14,2.96,1,1,1,0,0
3.1,20.06,14.44,0,0,0,1,1
19.15,5.37,2.2,1,1,0,0,0
5.84,5.12,0.53,1,0,1,0,0
3.39,3.32,0.49,1,1,1,0,0
4.43,2.28,2.46,0,1,0,0,0
1.25,8.07,0.34,1,1,0,0,0
26.03,1.54,0.26,0,0,1,1,0
14.5,39.9,11.04,1,0,0,1,1
9.21,5.47,3.54,0,0,0,0,0
96.88,2.93,1.47,1,1,0,0,0
8.45,6.47,2.47,1,0,1,1,0
48.92,2.97,1.65,1,1,1,0,0
5.39,1.79,0.97,1,0,1,1,0
12.1,4.06,3.71,0,0,0,0,0
13.09,1.33,3.26,0,0,1,1,0
23.62,0.95,3.32,1,1,1,0,0
19.68,4.29,0.41,0,1,0,1,0
30.36,10.19,0.98,1,1,0,1,0
5.45,0.21,2.21,0,1,0,0,0
7.49,2.95,2.42,1,0,0,0,0
1.65,26.81,21.16,0,0,0,1,1
3.27,4.79,2.97,1,0,1,0,0
1.41,5.57,1.75,1,0,1,0,0
65.91,4.79,3.96,1,0,0,1,0
7.02,7.09,3.43,0,0,1,1,0
25.73,0.07,2.81,0,1,0,0,0
3.42,3.7,1.11,1,1,0,1,0
11.66,42.72,18.51,0,0,0,1,1
28.67,5.4,3.47,0,1,1,0,0
56.33,0.52,1.33,1,1,0,0,0
39.13,0.11,1.06,1,0,0,0,0
6.51,4.91,1.02,1,1,1,1,0
33.16,8.43,0.21,1,0,0,1,0
1.38,2.41,3.85,1,1,0,0,0
52.87,12.03,1.38,1,0,0,0,0
29.77,1.85,2.85,1,0,1,1,0
187.57,2.79,13.4,1,0,0,1,1
7.95,2.93,3.74,1,1,0,1,0
164.37,1.33,11.95,1,0,0,1,1
13.92,6.22,1.56,1,1,0,0,0
15.29,79.39,20.88,0,1,1,1,1
5.89,3.06,1.06,1,0,1,0,0
14.18,6.78,2.42,1,1,1,0,0
26.32,0.22,3.98,1,0,1,0,0
14.94,0.25,1.24,1,0,1,0,0
14.25,0.28,2.12,0,1,0,1,0
190.68,53.08,11.04,0,0,0,1,1
17.65,11.88,3.21,1,0,0,0,0
11.13,2.42,3.19,1,1,0,0,0
36.5,4.17,2.67,0,1,0,1,0
5.56,7.32,1.84,1,0,0,0,0
4.38,3.07,3.44,1,0,1,0,0
9.69,2.64,0.41,1,0,1,1,0
26.17,0.25,0.68,1,0,1,1,0
5.32,12.65,0.29,1,0,1,1,0
13.56,7.74,0.79,1,1,1,0,0
6.9,2.38,0.36,1,1,0,0,0
4.81,3.74,2.15,1,1,0,1,0
65.36,3.3,2.79,1,1,0,1,0
11.18,26.52,1.48,0,1,1,1,0
2.98,4.7,2.86,1,0,0,1,0
169.93,46.7,18.84,0,0,0,1,1
10.6,1.96,0.12,1,0,1,1,0
99.58,93.29,18.98,0,0,0,1,1
22.99,2.67,3.0,1,0,1,0,0
3.5,5.78,3.22,1,0,1,0,0
143.98,51.17,22.7,1,0,0,0,1
10.31,1.36,1.86,1,0,0,0,0
22.56,12.23,1.83,0,1,1,0,0
19.78,3.71,3.12,0,1,1,1,0
2.14,6.45,1.89,1,1,0,1,0
13.53,0.46,1.92,0,1,1,0,0
5.61,11.13,1.35,0,0,0,0,0
2.99,3.11,13.96,0,0,0,1,1
1.11,4.75,1.42,1,0,0,1,0
1.08,67.42,19.89,1,0,0,1,1
11.44,18.19,3.05,1,0,1,1,0
9.12,5.77,2.87,1,0,0,1,0
36.6,2.49,2.83,1,1,1,0,0
102.72,81.44,10.17,0,1,0,1,1
23.58,3.8,1.66,1,1,1,1,0
6.25,8.41,2.4,1,1,1,0,0
16.3,0.41,3.73,1,1,1,0,0
25.89,0.97,3.83,0,0,1,1,0
10.23,5.4,0.45,1,1,1,1,0
72.38,1.95,19.59,0,0,0,1,1
8.56,20.25,1.44,0,0,1,0,0
105.38,76.27,14.11,1,1,0,1,1
5.74,2.41,1.59,1,1,0,0,0
38.75,9.16,0.7,1,1,0,0,0
123.01,26.77,15.07,0,0,0,1,1
10.68,4.02,1.86,1,0,1,0,0
4.05,3.48,1.7,1,0,1,0,0
1.8,3.28,2.79,0,1,1,1,0
9.38,0.41,3.57,0,1,1,1,0
169.71,47.48,15.97,0,0,0,1,1
24.01,1.71,0.24,1,1,1,0,0
9.46,84.71,12.88,0,0,0,1,1
5.62,33.97,10.57,0,1,0,1,1
24.09,9.9,1.44,0,0,1,0,0
75.74,7.36,1.03,1,1,0,1,0
15.42,7.04,0.55,0,0,0,1,0
11.41,2.39,2.85,1,0,1,0,0
8.94,5.67,3.85,1,0,1,1,0
8.48,12.51,3.45,1,0,0,1,0
22.25,6.91,2.96,1,0,0,1,0
11.9,5.59,3.34,0,0,0,0,0
5.0,1.07,0.19,0,1,1,1,0
15.25,6.16,0.57,1,0,1,1,0
51.24,11.32,2.81,1,1,1,1,0
4.85,2.78,3.62,1,0,0,0,0
7.24,2.02,0.33,1,0,0,0,0
